lid,lat,lon,rfc,minor,moderate,major,code,date_produced
OKBO2,35.565556,97.366944,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
OLBO2,35.478668,97.663375,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
OSWK1,37.176660,95.105000,ABRFC,0.167300,0.087300,0.050000,1,1/26/2023
OWSO2,36.248333,95.866944,ABRFC,0.070700,0.050300,0.050000,1,1/26/2023
OXFK1,37.274486,97.162914,ABRFC,0.059600,0.050000,0.050000,1,1/26/2023
OZGA4,35.472500,93.812778,ABRFC,0.270900,0.050000,0.050000,1,1/26/2023
PANO2,35.165556,94.652778,ABRFC,0.783000,0.540900,0.071300,3,1/26/2023
PAWO2,36.343611,96.799167,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
PBFA4,34.288611,91.994722,ABRFC,0.147800,0.057000,0.050000,1,1/26/2023
PDAC2,38.271669,104.718033,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
PDLC2,38.487219,105.373604,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
PECK1,37.456900,97.423600,ABRFC,0.065200,0.050000,0.050000,1,1/26/2023
PGMC2,37.129465,104.639989,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
PGRC2,37.143908,104.547764,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
PLVO2,34.754802,97.251412,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
PLYK1,38.397800,96.356600,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
PNNC2,38.429444,104.598056,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
PPFK1,37.340060,95.109970,ABRFC,0.169900,0.086700,0.050000,1,1/26/2023
PRCO2,35.013961,97.347528,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
PRKO2,35.959167,97.032500,ABRFC,0.131000,0.033000,0.033000,1,4/16/2013
PRTC2,38.388334,105.016096,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
PTAO2,35.059722,94.602778,ABRFC,0.586500,0.449400,0.055900,2,1/26/2023
PTRC2,37.170852,104.509152,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
PTTK1,37.637770,98.721110,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
