lid,lat,lon,rfc,minor,moderate,major,code,date_produced
MSNA4,35.013056,90.719167,LMRFC,0.140000,0.090000,0.050000,1,1/24/2023
MTCM6,31.553330,90.088050,LMRFC,0.840000,0.730000,0.050000,3,1/24/2023
MTTL1,30.698611,92.893889,LMRFC,0.680000,0.140000,0.050000,2,1/24/2023
MYVT1,35.786111,83.884444,LMRFC,0.050000,0.050000,0.050000,1,1/24/2023
NECL1,32.070800,91.928100,LMRFC,0.550000,0.190000,0.090000,2,1/24/2023
NEPT1,35.960556,83.174444,LMRFC,0.479800,0.190800,0.065300,1,3/7/2018
NLGL1,32.089167,91.489722,LMRFC,0.050000,0.050000,0.050000,1,1/24/2023
NMDM7,36.583060,89.532220,LMRFC,0.260000,0.110000,0.050000,1,1/24/2023
NOMT1,36.405278,88.854722,LMRFC,0.120000,0.090000,0.070000,1,1/24/2023
NORL1,29.934722,90.136111,LMRFC,0.367000,0.183000,0.033000,1,2/19/2014
NPTA4,35.605278,91.288889,LMRFC,0.340000,0.250000,0.140000,1,1/24/2023
NRBL1,30.504167,90.545833,LMRFC,0.080000,0.050000,0.050000,1,1/24/2023
NTZM6,31.544017,91.433412,LMRFC,0.367000,0.183000,0.033000,1,2/19/2014
NWPT1,35.981667,83.161111,LMRFC,0.100000,0.050000,0.050000,1,1/24/2023
OAKT1,35.983056,84.558056,LMRFC,0.050000,0.050000,0.050000,1,1/24/2023
OARM6,32.298333,88.753611,LMRFC,0.050000,0.050000,0.050000,1,1/24/2023
OBCL1,30.639722,92.814444,LMRFC,0.890000,0.780000,0.240000,3,1/24/2023
OBNT1,36.240760,89.217575,LMRFC,0.310000,0.050000,0.050000,1,1/24/2023
OFAM6,32.706110,89.671940,LMRFC,0.790000,0.080000,0.050000,2,1/24/2023
OKDL1,30.822500,92.685000,LMRFC,0.750000,0.180000,0.050000,2,1/24/2023
OLMI2,37.179167,89.058333,LMRFC,0.750000,0.390000,0.200000,2,1/24/2023
OLVL1,30.756389,91.043889,LMRFC,0.050000,0.050000,0.050000,1,1/24/2023
OLVM6,34.907500,89.753333,LMRFC,0.050000,0.050000,0.050000,1,1/24/2023
ORAM6,30.458611,88.451944,LMRFC,0.050000,0.050000,0.050000,1,1/24/2023
OSGA4,35.660556,89.933056,LMRFC,0.150000,0.110000,0.050000,1,1/24/2023
OSYM6,31.012222,90.461111,LMRFC,0.470000,0.050000,0.050000,1,1/24/2023
OXDM6,34.272778,89.521389,LMRFC,0.070000,0.050000,0.050000,1,1/24/2023
PAHK2,37.089444,88.594444,LMRFC,0.490000,0.360000,0.080000,1,1/24/2023
PAZM7,37.194444,90.503333,LMRFC,0.290000,0.070000,0.050000,1,1/24/2023
PERL1,30.385000,89.736667,LMRFC,0.950000,0.640000,0.230000,3,1/24/2023
PFAA4,33.978611,91.384444,LMRFC,0.050000,0.050000,0.050000,1,1/24/2023
PGFM6,30.610556,88.641389,LMRFC,0.600000,0.100000,0.050000,2,1/24/2023
PLAM6,32.841400,89.097800,LMRFC,0.950000,0.220000,0.050000,2,1/24/2023
PLGA4,34.972778,90.884722,LMRFC,0.110000,0.050000,0.050000,1,1/24/2023
PLKT1,35.195000,87.063889,LMRFC,0.180000,0.050000,0.050000,1,1/24/2023
POCA4,36.254167,90.970278,LMRFC,0.340000,0.140000,0.050000,1,1/24/2023
PPBM7,36.759722,90.388056,LMRFC,0.230000,0.080000,0.050000,1,1/24/2023
PSPT1,35.014167,86.994722,LMRFC,0.130000,0.050000,0.050000,1,1/24/2023
PTTA4,35.269722,91.236389,LMRFC,0.950000,0.220000,0.070000,2,1/24/2023
PVLL1,30.332500,90.851944,LMRFC,0.410000,0.060000,0.050000,1,1/24/2023
PWDM7,37.185500,91.177900,LMRFC,0.240000,0.050000,0.050000,1,1/24/2023
RATM6,32.594160,89.840550,LMRFC,0.340000,0.050000,0.050000,1,1/24/2023
RHLL1,31.754167,92.344444,LMRFC,0.870000,0.250000,0.060000,2,1/24/2023
RIGA4,35.671667,90.338056,LMRFC,0.420000,0.110000,0.060000,1,1/24/2023
RLRV2,37.086111,81.781111,LMRFC,0.080000,0.050000,0.050000,1,1/24/2023
RLTT1,35.637222,89.609444,LMRFC,0.060000,0.050000,0.050000,1,1/24/2023
RNTM6,31.332778,89.112500,LMRFC,0.320000,0.050000,0.050000,1,1/24/2023
ROBL1,30.506389,90.361667,LMRFC,0.880000,0.350000,0.080000,2,1/24/2023
ROCM6,31.790830,90.142500,LMRFC,0.850000,0.090000,0.050000,2,1/24/2023
ROST1,35.054167,89.540833,LMRFC,0.160000,0.110000,0.050000,1,1/24/2023
RRLL1,30.960833,91.664444,LMRFC,0.667000,0.183000,0.033000,2,2/19/2014
RRVL1,30.055556,90.568611,LMRFC,0.367000,0.183000,0.033000,1,2/19/2014
RSAM6,31.324700,91.109400,LMRFC,0.190000,0.050000,0.050000,1,1/24/2023
RVSA4,36.346389,91.114167,LMRFC,0.190000,0.130000,0.060000,1,1/24/2023
RYEA4,33.700833,92.025833,LMRFC,0.140000,0.050000,0.050000,1,1/24/2023
SALV2,36.896667,81.746389,LMRFC,0.070000,0.050000,0.050000,1,1/24/2023
SARM6,34.575556,90.224444,LMRFC,0.050000,0.050000,0.050000,1,1/24/2023
SCKG1,34.918944,85.125722,LMRFC,0.220000,0.050000,0.050000,1,1/24/2023
SEVT1,35.878333,83.577778,LMRFC,0.120000,0.050000,0.050000,1,1/24/2023
SFRA4,36.455833,90.137778,LMRFC,0.370000,0.050000,0.050000,1,1/24/2023
SFYV2,36.648611,82.750556,LMRFC,0.100000,0.050000,0.050000,1,1/24/2023
SHBM6,31.857575,88.686906,LMRFC,0.150000,0.050000,0.050000,1,1/24/2023
SHVT1,35.480278,86.499167,LMRFC,0.570000,0.490000,0.090000,2,1/24/2023
SJOA4,35.983056,92.747222,LMRFC,0.060000,0.050000,0.050000,1,1/24/2023
SMFV2,36.807222,81.622222,LMRFC,0.050000,0.050000,0.050000,1,1/24/2023
SMLI2,37.158333,88.426111,LMRFC,0.380000,0.090000,0.050000,1,1/24/2023
SMML1,30.982500,91.798333,LMRFC,0.367000,0.183000,0.033000,1,2/19/2014
SPHL1,32.994444,93.396389,LMRFC,0.950000,0.110000,0.050000,2,1/24/2023
SUNM6,33.547222,90.543056,LMRFC,0.710000,0.180000,0.150000,2,1/24/2023
SVPL1,32.515278,93.740278,LMRFC,0.050000,0.050000,0.050000,1,1/24/2023
SWNM6,33.860556,90.276667,LMRFC,0.740000,0.050000,0.050000,2,1/24/2023
TAZT1,36.425000,83.398333,LMRFC,0.150000,0.050000,0.050000,1,1/24/2023
TDGL1,32.431944,91.366667,LMRFC,0.300000,0.240000,0.180000,1,1/24/2023
THBI2,37.221667,89.463056,LMRFC,0.240000,0.060000,0.050000,1,1/24/2023
TKSN7,35.427500,83.446944,LMRFC,0.050000,0.050000,0.050000,1,1/24/2023
TLCT2,33.386200,95.132200,LMRFC,0.860000,0.170000,0.050000,2,1/24/2023
TNZM7,36.623056,92.248056,LMRFC,0.050000,0.050000,0.050000,1,1/24/2023
TPTM7,36.412438,89.537728,LMRFC,0.370000,0.050000,0.050000,1,1/24/2023
TYTM6,31.176944,90.280000,LMRFC,0.850000,0.570000,0.250000,3,1/24/2023
VCKM6,32.315000,90.905833,LMRFC,0.210000,0.120000,0.070000,1,1/24/2023
VNBM7,36.991389,91.013611,LMRFC,0.050000,0.050000,0.050000,1,1/24/2023
WCKG1,34.957222,85.205556,LMRFC,0.560000,0.050000,0.050000,2,1/24/2023
WDVA1,34.624167,86.306389,LMRFC,0.900000,0.460000,0.050000,2,1/24/2023
WHTT1,35.206389,85.497222,LMRFC,0.710000,0.050000,0.050000,2,1/24/2023
WOCT2,33.322222,95.092500,LMRFC,0.900000,0.050000,0.050000,2,1/24/2023
WSTM6,33.194400,89.771100,LMRFC,0.950000,0.660000,0.050000,3,1/24/2023
WTGM6,32.588300,89.465000,LMRFC,0.770000,0.050000,0.050000,2,1/24/2023
WYNM6,31.682480,88.683500,LMRFC,0.180000,0.050000,0.050000,1,1/24/2023
YWGM6,33.631400,90.109100,LMRFC,0.690000,0.250000,0.050000,2,1/24/2023
YZOM6,32.857900,90.436800,LMRFC,0.760000,0.150000,0.050000,2,1/24/2023
